#Dashing2 Asymmetric pairwise Output
#Dashing2Options: Dashing2Options;k:15;parsebyseq;trimchr;sketchsize:1024;sketchtype:fullsetsketch;Fastx;canon
#Sources	hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05	hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02	hCoV-19/Algeria/G0640_2265/2020|EPI_ISL_418242|2020-03-08	hCoV-19/Algeria/G0860_2262/2020|EPI_ISL_420037|2020-03-02	hCoV-19/Algeria/G35014-8856/2020|EPI_ISL_766869|2020-06-09	hCoV-19/Algeria/G35155-8850/2020|EPI_ISL_766864|2020-07-15	hCoV-19/Algeria/G37138-8854/2020|EPI_ISL_766867|2020-06-18	hCoV-19/Algeria/G37308-8864/2020|EPI_ISL_766875|2020-06-17	hCoV-19/Algeria/G37318-8849/2020|EPI_ISL_766863|2020-06-15	hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31
hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05	1	0.9716797	0.9794922	0.9794922	0.97753906	0.98046875	0.9707031	0.9785156	0.9746094	0.98535156
hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02	0.9716797	1	0.9921875	0.9902344	0.984375	0.9873047	0.9824219	0.984375	0.98339844	0.984375
hCoV-19/Algeria/G0640_2265/2020|EPI_ISL_418242|2020-03-08	0.9794922	0.9921875	1	0.99609375	0.9863281	0.9892578	0.984375	0.9863281	0.98535156	0.9921875
hCoV-19/Algeria/G0860_2262/2020|EPI_ISL_420037|2020-03-02	0.9794922	0.9902344	0.99609375	1	0.98828125	0.99121094	0.9863281	0.98828125	0.9873047	0.9921875
hCoV-19/Algeria/G35014-8856/2020|EPI_ISL_766869|2020-06-09	0.97753906	0.984375	0.9863281	0.98828125	1	0.9951172	0.9824219	0.9921875	0.9892578	0.9902344
hCoV-19/Algeria/G35155-8850/2020|EPI_ISL_766864|2020-07-15	0.98046875	0.9873047	0.9892578	0.99121094	0.9951172	1	0.98535156	0.9951172	0.9921875	0.99316406
hCoV-19/Algeria/G37138-8854/2020|EPI_ISL_766867|2020-06-18	0.9707031	0.9824219	0.984375	0.9863281	0.9824219	0.98535156	1	0.9824219	0.9814453	0.98046875
hCoV-19/Algeria/G37308-8864/2020|EPI_ISL_766875|2020-06-17	0.9785156	0.984375	0.9863281	0.98828125	0.9921875	0.9951172	0.9824219	1	0.99121094	0.9902344
hCoV-19/Algeria/G37318-8849/2020|EPI_ISL_766863|2020-06-15	0.9746094	0.98339844	0.98535156	0.9873047	0.9892578	0.9921875	0.9814453	0.99121094	1	0.9873047
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31	0.98535156	0.984375	0.9921875	0.9921875	0.9902344	0.99316406	0.98046875	0.9902344	0.9873047	1
