#Dashing2 Asymmetric pairwise Output
#Dashing2Options: Dashing2Options;k:15;parsebyseq;trimchr;sketchsize:1024;sketchtype:orderminhash;Fastx;canon
#Sources	hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05	hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02	hCoV-19/Algeria/G0640_2265/2020|EPI_ISL_418242|2020-03-08	hCoV-19/Algeria/G0860_2262/2020|EPI_ISL_420037|2020-03-02	hCoV-19/Algeria/G35014-8856/2020|EPI_ISL_766869|2020-06-09	hCoV-19/Algeria/G35155-8850/2020|EPI_ISL_766864|2020-07-15	hCoV-19/Algeria/G37138-8854/2020|EPI_ISL_766867|2020-06-18	hCoV-19/Algeria/G37308-8864/2020|EPI_ISL_766875|2020-06-17	hCoV-19/Algeria/G37318-8849/2020|EPI_ISL_766863|2020-06-15	hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31
hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05	0	189	70	94	135	134	143	135	136	13
hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02	189	0	119	97	74	73	76	76	75	184
hCoV-19/Algeria/G0640_2265/2020|EPI_ISL_418242|2020-03-08	70	119	0	26	73	72	75	75	74	65
hCoV-19/Algeria/G0860_2262/2020|EPI_ISL_420037|2020-03-02	94	97	26	0	49	48	51	51	50	89
hCoV-19/Algeria/G35014-8856/2020|EPI_ISL_766869|2020-06-09	135	74	73	49	0	3	18	12	13	130
hCoV-19/Algeria/G35155-8850/2020|EPI_ISL_766864|2020-07-15	134	73	72	48	3	0	17	11	12	129
hCoV-19/Algeria/G37138-8854/2020|EPI_ISL_766867|2020-06-18	143	76	75	51	18	17	0	20	19	138
hCoV-19/Algeria/G37308-8864/2020|EPI_ISL_766875|2020-06-17	135	76	75	51	12	11	20	0	11	132
hCoV-19/Algeria/G37318-8849/2020|EPI_ISL_766863|2020-06-15	136	75	74	50	13	12	19	11	0	133
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31	13	184	65	89	130	129	138	132	133	0
